timestamp,description,pid,name,cpu_percent,memory_mb,memory_percent,disk_read_kb,disk_write_kb
2025-09-15 17:01:16.674002,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:16.674002,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,5.0,81.1,0.1,50.9,0.0
2025-09-15 17:01:17.075081,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:17.075081,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,10.0,81.1,0.1,50.9,0.0
2025-09-15 17:01:17.476446,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:17.476446,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,5.0,81.1,0.1,50.9,0.0
2025-09-15 17:01:17.877572,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:17.877572,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,10.0,81.1,0.1,50.9,0.0
2025-09-15 17:01:18.278708,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:18.278708,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,5.0,81.3,0.1,50.9,0.0
2025-09-15 17:01:18.679862,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:18.679862,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,0.0,81.8,0.1,50.9,0.0
2025-09-15 17:01:19.081113,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:19.081113,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,5.0,82.1,0.1,50.9,0.0
2025-09-15 17:01:19.482301,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:19.482301,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,5.0,82.1,0.1,50.9,0.0
2025-09-15 17:01:19.883436,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:19.883436,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,5.0,82.1,0.1,50.9,0.0
2025-09-15 17:01:20.284535,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:20.284535,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,5.0,82.3,0.1,50.9,0.0
2025-09-15 17:01:20.685718,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:20.685718,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,5.0,82.3,0.1,50.9,0.0
2025-09-15 17:01:21.086843,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:21.086843,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,5.0,82.3,0.1,50.9,0.0
2025-09-15 17:01:21.487972,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:21.487972,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,10.0,82.3,0.1,50.9,0.0
2025-09-15 17:01:21.889113,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:21.889113,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,5.0,82.6,0.1,50.9,0.0
2025-09-15 17:01:22.290315,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:22.290315,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,5.0,82.8,0.1,50.9,0.0
2025-09-15 17:01:22.691659,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:22.691659,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,5.0,82.8,0.1,50.9,0.0
2025-09-15 17:01:23.092745,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:23.092745,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,5.0,82.8,0.1,50.9,0.0
2025-09-15 17:01:23.493786,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:23.493786,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,10.0,82.8,0.1,50.9,0.0
2025-09-15 17:01:23.894861,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:23.894861,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,10.0,82.8,0.1,50.9,0.0
2025-09-15 17:01:24.295899,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:24.295899,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,10.0,82.8,0.1,50.9,0.0
2025-09-15 17:01:24.697248,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:24.697248,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,0.0,82.8,0.1,50.9,0.0
2025-09-15 17:01:25.098445,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:25.098445,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,5.0,83.1,0.1,50.9,0.0
2025-09-15 17:01:25.499546,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:25.499546,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,10.0,83.1,0.1,50.9,0.0
2025-09-15 17:01:25.900579,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:25.900579,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,5.0,83.3,0.1,50.9,0.0
2025-09-15 17:01:26.301657,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:26.301657,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,5.0,83.3,0.1,50.9,0.0
2025-09-15 17:01:26.702768,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:26.702768,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,5.0,83.3,0.1,50.9,0.0
2025-09-15 17:01:27.103989,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:27.103989,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,0.0,83.3,0.1,50.9,0.0
2025-09-15 17:01:27.505155,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:27.505155,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,5.0,83.3,0.1,50.9,0.0
2025-09-15 17:01:27.906275,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:27.906275,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,5.0,83.6,0.1,50.9,0.0
2025-09-15 17:01:28.307309,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,5.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:28.307309,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,10.0,83.6,0.1,50.9,0.0
2025-09-15 17:01:28.708377,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:28.708377,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,5.0,83.8,0.1,50.9,0.0
2025-09-15 17:01:29.109602,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:29.109602,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,0.0,83.8,0.1,50.9,0.0
2025-09-15 17:01:29.510693,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:29.510693,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,5.0,83.8,0.1,50.9,0.0
2025-09-15 17:01:29.911703,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:29.911703,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,10.0,84.1,0.1,50.9,0.0
2025-09-15 17:01:30.312737,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:30.312737,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,10.0,84.1,0.1,50.9,0.0
2025-09-15 17:01:30.713997,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:30.713997,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,5.0,84.6,0.1,50.9,0.0
2025-09-15 17:01:31.115160,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:31.115160,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,10.0,84.6,0.1,50.9,0.0
2025-09-15 17:01:31.516283,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:31.516283,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,5.0,85.1,0.1,50.9,0.0
2025-09-15 17:01:31.917390,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:31.917390,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,5.0,85.3,0.1,50.9,0.0
2025-09-15 17:01:32.318749,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:32.318749,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,0.0,85.6,0.1,50.9,0.0
2025-09-15 17:01:32.720006,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:32.720006,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,5.0,85.6,0.1,50.9,0.0
2025-09-15 17:01:33.121179,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:33.121179,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,5.0,85.6,0.1,50.9,0.0
2025-09-15 17:01:33.522377,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:33.522377,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,5.0,85.6,0.1,50.9,0.0
2025-09-15 17:01:33.923569,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:33.923569,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,5.0,85.8,0.1,50.9,0.0
2025-09-15 17:01:34.324820,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:34.324820,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,5.0,85.8,0.1,50.9,0.0
2025-09-15 17:01:34.725906,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:34.725906,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,0.0,85.8,0.1,50.9,0.0
2025-09-15 17:01:35.126980,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:35.126980,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,5.0,85.8,0.1,50.9,0.0
2025-09-15 17:01:35.528167,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:35.528167,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,10.0,85.8,0.1,50.9,0.0
2025-09-15 17:01:35.929309,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:35.929309,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,10.0,86.3,0.1,50.9,0.0
2025-09-15 17:01:36.330559,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:36.330559,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,5.0,86.6,0.1,50.9,0.0
2025-09-15 17:01:36.731663,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:36.731663,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,0.0,86.6,0.1,50.9,0.0
2025-09-15 17:01:37.132749,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:37.132749,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,5.0,86.8,0.1,50.9,0.0
2025-09-15 17:01:37.533777,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:37.533777,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,10.0,86.8,0.1,50.9,0.0
2025-09-15 17:01:37.934942,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:37.934942,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,10.0,86.8,0.1,50.9,0.0
2025-09-15 17:01:38.335995,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:38.335995,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,5.0,86.8,0.1,50.9,0.0
2025-09-15 17:01:38.737102,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:38.737102,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,5.0,86.8,0.1,50.9,0.0
2025-09-15 17:01:39.138155,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:39.138155,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,5.0,87.1,0.1,50.9,0.0
2025-09-15 17:01:39.539371,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:39.539371,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,0.0,87.1,0.1,50.9,0.0
2025-09-15 17:01:39.940474,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:39.940474,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,10.0,87.1,0.1,50.9,0.0
2025-09-15 17:01:40.341546,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
